# ratedPower, rotorDiameter, ratedQ, blade_mass, Vrated, I1, I2, I3, ratedT, extremeT
5.000000000000000000e+02 8.000000000000000000e+01 3.372625269426117302e+05 5.563203845728129636e+03 7.293051230553145636e+00 5.290470850224431604e+06 2.544051942504909355e+06 2.090913583518120926e+06 1.290969054058360489e+05 6.593093746465633740e+04
5.000000000000000000e+02 8.200000000000000000e+01 3.616283322306808550e+05 6.735535166106141332e+03 7.174019793445426174e+00 6.329445672318086959e+06 3.043668326224125456e+06 2.501539902035080828e+06 1.324014488118189329e+05 7.868545567367771582e+04
5.000000000000000000e+02 8.400000000000000000e+01 3.562064560800396721e+05 6.419159263849764102e+03 7.059590222770677492e+00 7.000072747841167264e+06 3.366155712031855714e+06 2.766586870704562403e+06 1.326038360452876950e+05 7.093909237838393892e+04
5.000000000000000000e+02 1.120000000000000000e+02 -2.054963907022528292e+05 6.721691075460970751e+03 4.485061437505568627e+00 1.108212480610647798e+07 5.329110005182432011e+06 4.379906051339110360e+06 -8.486238807653491676e+04 9.100463681968142919e+04
5.000000000000000000e+02 1.220000000000000000e+02 -2.489437205947584298e+05 8.321103084226209830e+03 5.155430163133090105e+00 1.675720902758022211e+07 8.058112667942924425e+06 6.622827526992914267e+06 -1.152385838421677181e+05 1.095625991693026881e+05
6.900000000000000000e+02 4.000000000000000000e+01 1.610371824315670528e+05 1.611165062387634634e+03 1.288899870420018523e+01 4.384517577759575215e+05 2.108402215309999301e+05 1.732860386164410447e+05 1.016278443618152814e+05 2.237651554037949245e+04
6.900000000000000000e+02 4.200000000000000000e+01 1.854639742487652402e+05 1.794880257921684233e+03 1.247647838129933717e+01 5.206974341359537211e+05 2.503900609743837267e+05 2.057913877158422838e+05 1.088443279092240846e+05 2.412443896628303628e+04
6.900000000000000000e+02 4.400000000000000000e+01 1.931952443519660155e+05 1.793885182172778741e+03 1.209569703443300170e+01 5.883279779494435061e+05 2.829118574708285159e+05 2.325205062997476198e+05 1.110855692132588010e+05 2.408656638954213486e+04
6.900000000000000000e+02 4.600000000000000000e+01 2.022332456930263434e+05 1.835829293169090761e+03 1.174230402876320944e+01 6.673325005139091518e+05 3.209031090601411997e+05 2.637448782065311680e+05 1.135169776188953401e+05 2.465860859649347913e+04
6.900000000000000000e+02 4.800000000000000000e+01 2.122205408067249518e+05 1.897290282252015231e+03 1.141381588740600250e+01 7.569331285955242347e+05 3.639897564255686011e+05 2.991570703632381046e+05 1.159792455359385203e+05 2.544981627474717607e+04
6.900000000000000000e+02 5.000000000000000000e+01 2.227531670545566303e+05 1.975843743155161746e+03 1.110737379946156800e+01 8.581105964909269242e+05 4.126434095736825839e+05 3.391446911171624088e+05 1.184770167636976548e+05 2.644342290293744372e+04
6.900000000000000000e+02 5.200000000000000000e+01 2.336218222788347048e+05 2.068955213953624025e+03 1.082078324917424972e+01 9.712784094573487528e+05 4.670629125927842688e+05 3.838711670864027110e+05 1.209708705571231985e+05 2.761210772799031474e+04
6.900000000000000000e+02 5.400000000000000000e+01 2.516642836452144256e+05 2.084847568588410923e+03 1.055189519468755144e+01 1.051505223067687359e+06 5.056419326430890942e+05 4.155786160241693142e+05 1.130622204722443857e+05 2.682273410788266847e+04
6.900000000000000000e+02 5.600000000000000000e+01 2.550498033133296121e+05 2.297399761421996573e+03 1.029910763142602370e+01 1.240341282625843771e+06 5.964483575785029680e+05 4.902108922744837473e+05 1.260750548982361215e+05 3.040220095831320577e+04
6.900000000000000000e+02 5.800000000000000000e+01 2.656510781138662715e+05 2.428350819539702115e+03 1.006149270923554084e+01 1.396741518163096393e+06 6.716572254262284841e+05 5.520237981969127432e+05 1.286501909235681815e+05 3.198237224811070701e+04
6.900000000000000000e+02 6.000000000000000000e+01 2.764033514621747308e+05 2.576878798638239914e+03 9.836125904306104673e+00 1.572743078891408397e+06 7.562918685668788385e+05 6.215835905983026605e+05 1.313144344071283413e+05 3.373523717119477806e+04
6.900000000000000000e+02 6.200000000000000000e+01 2.872099414929036284e+05 2.736780611174412570e+03 9.623466454730357000e+00 1.767559689751381520e+06 8.499741874609545339e+05 6.985795158144489396e+05 1.340133254889587697e+05 3.559518006151879672e+04
6.900000000000000000e+02 6.400000000000000000e+01 2.904274389032215695e+05 2.984280351574986071e+03 9.422090740304863488e+00 2.018085633160952944e+06 9.704456976578130852e+05 7.975930276413863758e+05 1.373289981244448572e+05 3.818486537861798570e+04
6.900000000000000000e+02 6.600000000000000000e+01 3.095059394932282739e+05 3.097895206417823829e+03 9.230580038054300829e+00 2.223411749354619533e+06 1.069181768517616903e+06 8.787425467587906169e+05 1.393520350527568953e+05 3.969257322958586155e+04
6.900000000000000000e+02 6.800000000000000000e+01 3.206402563058218220e+05 3.296481453186876934e+03 9.048834681399858582e+00 2.486867287925686222e+06 1.195870789899705444e+06 9.828661266529993154e+05 1.420461108987214393e+05 4.189610158874207991e+04
6.900000000000000000e+02 7.000000000000000000e+01 3.318528052529934212e+05 3.509821218482267795e+03 8.875499308959073019e+00 2.777949740720804781e+06 1.335844886804728536e+06 1.097908487097583711e+06 1.447299740744766314e+05 4.422413836617502966e+04
6.900000000000000000e+02 7.200000000000000000e+01 3.431306743045017938e+05 3.730820615863818603e+03 8.710371246643207499e+00 3.094611481844048016e+06 1.488119408379192930e+06 1.223060360085788649e+06 1.473434311722099083e+05 4.660382837149495026e+04
6.900000000000000000e+02 7.400000000000000000e+01 3.546318833032913390e+05 3.958972364984393153e+03 8.552716824956794639e+00 3.437937086505685467e+06 1.653215899065661244e+06 1.358750394239579793e+06 1.498323202966801764e+05 4.904069295954991685e+04
6.900000000000000000e+02 7.600000000000000000e+01 3.690458428702037199e+05 4.179482389416055412e+03 8.402043900341771732e+00 3.831173638591571245e+06 1.842313286145223770e+06 1.514166362226121128e+06 1.523264488870881032e+05 5.123303681314244022e+04
6.900000000000000000e+02 7.800000000000000000e+01 3.834433987631796044e+05 4.428142687545218905e+03 8.257750517297671067e+00 4.254185568388844840e+06 2.045728889816464391e+06 1.681350232063682284e+06 1.547731600444266223e+05 5.389489142895666737e+04
6.900000000000000000e+02 8.000000000000000000e+01 3.986950702923263889e+05 4.662577622169886126e+03 8.119573527401257707e+00 4.695877868334860541e+06 2.258127405086508952e+06 1.855917006144538522e+06 1.570650370332123130e+05 5.652440563499405835e+04
6.900000000000000000e+02 8.200000000000000000e+01 4.120996866679590894e+05 4.884496657402926758e+03 7.987360983156744254e+00 5.136747119300333783e+06 2.470130137180159800e+06 2.030158492676888127e+06 1.592360347197543306e+05 5.910204989995691722e+04
6.900000000000000000e+02 8.400000000000000000e+01 4.291373634166371776e+05 5.178442566389627245e+03 7.859694048192946703e+00 5.686766480452581309e+06 2.734620361919858027e+06 2.247538568286302965e+06 1.615530196339962131e+05 6.225179176347296016e+04
6.900000000000000000e+02 8.600000000000000000e+01 4.466989223504586844e+05 5.522046714562252419e+03 7.737534365989341190e+00 6.319501818944035098e+06 3.038886581799398176e+06 2.497609866565471049e+06 1.641704129512928776e+05 6.582013126933439344e+04
6.900000000000000000e+02 8.800000000000000000e+01 4.669657266252195695e+05 5.956532974731395370e+03 7.619676483414798085e+00 7.064227500448741950e+06 3.397006089552657679e+06 2.791942278091171756e+06 1.668358378685934877e+05 7.030192881126441353e+04
6.900000000000000000e+02 9.000000000000000000e+01 4.885739168463436072e+05 6.486229134788963165e+03 7.506383304650681154e+00 7.917985427230552770e+06 3.807556411735435016e+06 3.129366695819251239e+06 1.696630297757706139e+05 7.580454061258923321e+04
6.900000000000000000e+02 9.200000000000000000e+01 5.110810708422627067e+05 7.142269215565331251e+03 7.397494828762998686e+00 8.901985677264742553e+06 4.280736931654299609e+06 3.518265821668216959e+06 1.727006088646873250e+05 8.266471978319849586e+04
